Hearing Date,Case Number,Location,MVA Cluster,MVA Code,HDLC,NCDC,NCDC Adjusted,Vacant Lot,Vacant Lot Revised,Vacant Lot Code,Market Assessment,Market Code,Roof ,Roof Code,Exterior,Exterior Code,Foundation,Foundation Code,Overall Condition,Overall Condition Code,Character?,Character Code,Abatement Recommendation,Recommendation Code,Reviewer notes,Zipcode,GeoPIN,XPos,YPos,Potential Error in Lot Status?,Potential Error in Market Status,Reviewer
10/15/2013,12-10264-PNBL,1019-1021 Valmont St,A,1,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,N/A,N/A,Sell,1,,70115,41051449,3667639.47,519153.5844,0,0,Demo
7/22/2013,13-01000-PNBL,824 Orange St,B,2,1,1,0,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,3. Poor,3,3. Poor,3,4. Very Poor,4,Yes,1,Demolish,0,,70130,41142784,3680994,523233.9581,0,0,Demo
10/28/2013,13-01171-PNBL,1032 Upperline St,A,1,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,3. Poor,3,3. Poor,3,3. Poor,3,Yes,1,Sell,1,,70115,41054092,3668929.907,519201.3378,0,0,DG
10/22/2013,13-07645-MPM,1227-29 Harmony St\1227-29 9th St,A,1,1,1,0,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,3. Poor,3,3. Poor,3,2. Fair,2,Yes,1,Sell,1,"A new case has been started.#14-00970-MPM
There are unpaid Fees.",70115,41041302,3675561.799,520558.7561,0,0,Demo
10/10/2013,13-06111-PNBL,4000-4004 Prytania St,A,1,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,3. Poor,3,1. Good,1,2. Fair,2,No,0,Sell,1,This dwelling might be occupied.,70115,41046218,3672327.463,520389.1804,0,0,Demo
9/9/2013,12-11870-PNBL,4907-4909 Camp St,A,1,0,1,1,,N/A,N/A,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70115,41051453,3668916.382,519045.2226,0,0,Demo
7/29/2013,12-11920-PNBL,5204-5206 Coliseum St,A,1,0,1,1,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,sell,1,,70115,41054492,3668000.968,519582.4568,0,0,JN
10/21/2013,13-01106-PNBL,5212-5214 Danneel St,A,1,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,Occp.,70115,41057739,3668055.05,522088.3256,0,0,AW
9/16/2013,12-10428-PNBL,5219 Constance St,A,1,0,1,1,,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,3. Poor,3,2. Fair,2,2. Fair,2,Yes,1,Sell,1,vacant lot,70115,41054625,3667879.237,518318.6593,0,0,Demo
9/12/2013,13-05035-PNBL,5328-30 Constance St,A,1,0,1,1,,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,2. Fair,2,2. Fair,2,2. Fair,2,N/A,N/A,Sell,1,,70115,41054633,3667177.889,518228.5531,0,0,JN
10/31/2013,13-07542-MPM,63 Grand Canyon Dr,A,1,0,0,0,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,VIOLATIONS ABATED LEIN PAID,70131,41139714,3699095.289,516136.2959,0,0,Demo
9/19/2013,13-05121-PNBL,7049 Magazine St,A,1,0,1,1,,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,3. Poor,3,2. Fair,2,3. Poor,3,Yes,1,Sell,1,vacant lot,70118,41044789,3661021.103,521200.5931,0,0,Demo
10/15/2013,13-06045-PNBL,7819 St Charles Ave/7825 St Charles Ave,A,1,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,3. Poor,3,2. Fair,2,2. Fair,2,Yes,1,Sell,1,The property is occupied with multiple dwellings on the lot.,70118,41142046,3661308.896,526246.0518,0,0,AW
10/24/2013,13-03014-PNBL,795 Jewel St,A,1,0,0,0,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,,70124,41011123,3670350.469,556011.4038,0,0,Demo
7/22/2013,13-01322-PNBL,2217 Jackson Ave,F,6,0,1,1,N/A,N/A,N/A,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,2. Fair,2,3. Poor,3,3. Poor,3,3. Poor,3,N/A,N/A,Demolish,0,,70113,41040510,3675949.691,525942.5344,0,0,Demo
7/22/2013,13-00982-PNBL,1810 Allen St,G,7,0,1,1,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,3. Poor,3,3. Poor,3,4. Very Poor,4,Yes,1,Demolish,0,,70116,41076652,3682505.484,538786.4052,0,1,AW
7/22/2013,CEHB-12-1598,1219 Gordon St,H,8,0,1,1,N/A,N/A,N/A,Very Weak (Poor demand and weak sales),4,2. Fair,2,3. Poor,3,2. Fair,2,3. Poor,3,No,0,Demolish,0,,70117,41124596,3699437.999,533909.887,0,0,DG
7/23/2013,CEHB-11-3956,7810 Edinburgh St/7814 Edinburgh St/7818 Edinburgh St,D,4,0,1,1,N/A,N/A,N/A,Very Weak (Poor demand and weak sales),4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70125,41029143,3668178.083,533750.3884,0,0,DG
9/23/2013,12-09429-PNBL,120 Filmore Ave,B,2,0,0,0,,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,No,0,Sell,1,,70124,41009308,3666909.776,552124.7276,0,0,Demo
7/22/2013,12-09756-PNBL,121 N Scott St,B,2,0,1,1,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70119,41019381,3671851.87,538102.1245,0,0,Demo
7/23/2013,CEHB-11-3957,7928-30 Forshey St,D,4,0,1,1,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70125,41030100,3667392.803,533521.2074,0,0,DG
10/14/2013,13-00626-PNBL,1224 Decatur St,B,2,0,1,1,Yes,No,0,"Moderately Strong (Solid housing demand and sales, but not strongest in city)",2,N/A,N/A,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70116,41022855,3684450,533573.9249,1,0,Demo
7/23/2013,12-10450-PNBL,1419 Odeon St,E,5,0,0,0,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,4. Very Poor,4,No,0,Demolish,0,,70114,41000954,3695919.496,526036.791,0,1,Demo
7/23/2013,CEHB-11-7649,4030 Mithra St,E,5,0,0,0,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,3. Poor,3,3. Poor,3,3. Poor,3,No,0,Demolish,0,,70126,41184747,3688980.405,552983.6304,0,1,Demo
9/23/2013,13-02892-PNBL,1457 Constance St,B,2,1,1,0,,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70130,41142262,3680532.89,523974.0019,0,0,DG
9/9/2013,12-09247-PNBL,2117-2119 Adams St,B,2,0,1,1,,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,3. Poor,3,2. Fair,2,3. Poor,3,Yes,1,Sell,1,,70118,41026925,3665351.962,529778.3043,0,0,DG
7/30/2013,13-02224-PNBL,2127-2129 Chippewa St,B,2,1,1,0,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,3. Poor,3,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70130,41041376,3679841.183,521049.2254,0,0,AW
10/22/2013,13-03616-PNBL,2927-2933 Chippewa St,B,2,1,1,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,There are unpaid fees.,70115,41042248,3677207.602,519204.9847,0,0,JN
10/22/2013,13-07559-MPM,306 S Rampart St,B,2,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,3. Poor,3,N/A,N/A,3. Poor,3,No,0,Sell,1,SELL LOT,70112,41033189,3679582.167,530530.2418,0,0,Demo
10/17/2013,13-06474-PNBL,316 S Alexander St,B,2,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,3. Poor,3,3. Poor,3,4. Very Poor,4,Yes,1,Sell,1,,70119,41036145,3669476.844,538355.9867,0,0,JN
10/17/2013,12-07689-PNBL,3323 Robert St,B,2,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,WIP,70125,41056032,3669014.76,527173.4098,0,0,DG
7/22/2013,12-09710-PNBL,3652-3654 Constance St,B,2,0,1,1,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,3. Poor,3,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70115,41047805,3673825.172,518701.9708,0,0,Demo
9/10/2013,13-05484-PNBL,3801 Baronne St & 1800 & 06 Peniston Street,B,2,0,1,1,yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,vacant lot,70115,41191788,3672659.916,521874.592,0,0,JN
9/10/2013,13-05486-PNBL,3827 Baronne St,B,2,0,1,1,,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70115,41053608,3672507.289,521860.5816,0,0,DG
10/29/2013,13-07424-PNBL,3914 Palmyra St,B,2,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,1. Good,1,1. Good,1,1. Good,1,Yes,1,Sell,1,OCCUPIED,70119,41033075,3671114.271,537241.2877,0,0,Demo
10/7/2013,13-03796-PNBL,4510 St Claude Ave,B,2,1,1,0,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,REMODEL,70117,41071739,3693398.168,534822.6386,0,0,Demo
10/7/2013,13-03794-PNBL,4526 St Claude Ave,B,2,1,1,0,Yes,No,0,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,3. Poor,3,3. Poor,3,3. Poor,3,No,0,Sell,1,VACANT PROPERTY,70117,41071743,3693509.2,534795.403,1,0,AW
7/23/2013,12-10482-PNBL,6050 Eastover Dr,B,2,0,0,0,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,4. Very Poor,4,2. Fair,2,1. Good,1,2. Fair,2,No,0,Sell,1,,70128,41102789,3718364.03,565718.5075,0,0,AW
10/8/2013,13-05326-PNBL,6660 Milne Blvd/240 Filmore Ave,B,2,0,0,0,Yes,Yes,1,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70124,41008579,3667373.741,552056.1534,0,0,DG
10/24/2013,13-02124-PNBL,6722 Catina St,B,2,0,0,0,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,2. Fair,2,1. Good,1,1. Good,1,Yes,1,Sell,1,,70124,41013463,3666964.244,552471.6734,0,0,Demo
7/25/2013,13-03900-PNBL,716 Peniston St,B,2,0,1,1,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,4. Very Poor,4,2. Fair,2,3. Poor,3,Yes,1,Sell,1,,70115,41046387,3673444.177,518463.9444,0,0,AW
10/31/2013,12-10655-PNBL,7526 Springlake Dr,B,2,0,0,0,Yes,Yes,1,"Moderately Weak (Limited housing demand and sales, but not the weakest market in the city)",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sell,1,,70126,41095575,3701254.714,559266.2016,0,0,DG
10/15/2013,13-07021-PNBL,7820-7822 St Charles Ave,B,2,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,N/A,N/A,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70118,41136321,3661220.571,526150.7076,0,0,JN
7/29/2013,12-12472-PNBL,801-803 1st St,B,2,1,1,0,N/A,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,3. Poor,3,2. Fair,2,2. Fair,2,2. Fair,2,Yes,1,Sell,1,,70130,41043178,3678692.309,520623.1004,0,0,AW
9/12/2013,13-04865-PNBL,929 Terpsichore St,B,2,1,1,0,,N/A,N/A,Very Strong (One of the strongest housing demand areas in the city),1,1. Good,1,2. Fair,2,1. Good,1,1. Good,1,Yes,1,Sell,1,,70130,41133993,3680918.251,524429.4909,0,0,Demo
10/14/2013,12-11989-PNBL,1000-1004-1006 Joliet St/8515 Freret St,C,3,0,1,1,No,No,0,Very Strong (One of the strongest housing demand areas in the city),1,2. Fair,2,2. Fair,2,2. Fair,2,2. Fair,2,N/A,N/A,Sell,1,,70118,41134982,3660430.329,528875.1703,0,0,Demo
